art,t,bpm,s
VINXIS,Sidetracked Day,188,728276
LiSA,Catch the Moment -Radio Edit ver.-,190,570938
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,557733
Roses Epicurean,Yoru no Kodomo-tachi,115,439731
Sporty-O,Let Me Hit It (Audiostalkers Original Mix),128,788905
TrySail,whiz -TV.Ver-,171,406025
Machico,fantastic dreamer,185,402887
Yu Tokiwa,Shounen Ripples,210,763619
Coda,Fighting Gold (TV Size),184,862547
TERRA,EDEN,200,500341
*namirin,Koi no Hime Hime Pettanko,178,485056
S3RL,Bass Slut (Original Mix),175,375648
Ayane,GO Love&Peace,128,202661
THE ORAL CIGARETTES,GET BACK,192,853600
Suara,Amakakeru Hoshi TV ver.,220,414667
Suzuki Konomi,Redo,190,437055
Sumizome Nozomi (CV: Uehara Aoi),Kokochi Ii Nichijou,140,1601375
Lia,Bravely You (TV Size),150,374767
Will Stetson,Snow Halation (feat. BeasttrollMC),173,881764
Ci Mei Gui,Wu Xuan Lan,167.91,828931
Mikuni Shimokawa,"Sore ga, Ai deshou",100,295946
Kicco,Amazing sky,150,518097
chano & 40mP,Natsukoi Hanabi,158,538998
CHiCO with HoneyWorks,Pride Kakumei,185,335534
BoA,I Did It For Love,130.6,17331
SEMARGL,Credo Revolution (Zardonic Remix),175,876496
Roberto Colombo,Tutti Beautiful,163.32,135227
yuikonnu,Souzou Forest,180,48368
Karen Aoki & Daisuke Hasegawa,Great Days,170,570494
KISIDA KYODAN & THE AKEBOSI ROCKETS,GATE~Sore wa Akatsuki no you ni~ (TV size),200,346872
Yousei Teikoku,Fata Morgana,200,1856477
Alexandra Stan feat. Connect-R,Vanilla Chocolat (Sped Up Ver.),153.6,975620
Foreground Eclipse,To The Terminus,189,2005330
Syaro (CV: Uchida Maaya),Caffeine Fighter,156,991440
DJ Fresh,Gold Dust,177,935111
Delta Heavy,Ghost,174,558303
Mrs. GREEN APPLE,Inferno (TV Size),185,999126
Drop,Granat,180.96,501992
AK X LYNX ft. Veela,Virtual Paradise,174,477725
Galileo Galilei,Aoi Shiori,132,430926
LiSA,Datte Atashi no Hero. -TV ver.-,189,637445
fhana,Wonder Stella,193,362039
Tia,Heart Realize (TV Size),178,1525595
AKI AKANE,FIRST,190,293832
Nakajima Megumi,Hello! (TV Size),133,44844
Mayama Rika,Liar Mask anime size,180,222671
DJ Genericname,Dango Dango Drum and Bass,178,64636
Reol,MONSTER,164,661483
Drop,Granat,180.96,155118
Nakamura Meiko,Core of Spark,195,798420
Project Grimoire,Caliburne ~Story of the Legendary sword~,190,335665
Rungran,d.m.c (Band Ver.),180,52203
Unlucky Morpheus,FAITH,200,418441
Nakagawa Shouko,Sorairo Days,174,393273
NOMA,Brain Power,170,357777
Horie Yui,silky heart,135,358471
Zensou Sagi no Hito,Ginza vs Ginza,200,638950
goreshit,benzo (with me eternal),197,935733
Cornelius Link,Astronomia (Medieval Style),130,1159452
Feint,We Won't Be Alone (feat. Laura Brehm),175,357539
Hanasaka Yui (CV: M.A.O) feat. Koalazy,Harumachi Clover (TV Size),142,780651
Momohara Natsuki (CV: Murakawa Rie),Natsuzora Yell (TV Size),170,1028594
Subplaid,If you went out with friends in a way,185,40327
SPYAIR,Sakura Mitsutsuki,179,686601
Noboru feat.Mitani Nana,Shiroi Yuki no Princess wa,200,439609
-45,System Sun,152,1616029
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,411894
HERO,"""Tenohira"" (TV Size)",207,1091595
LilDeuceDeuce,EVERYBODY DO THE FLOP (Cut Ver.),200,1233573
Inugami Korone & Nekomata Okayu,Hyadain's Jojo Yujo,200,1279298
Mika Kobayashi,Through My Blood,192,473415
TUYU,Kako ni Torawarete Iru,180,1245686
Oomori Seiko,JUSTadICE (TV Size),185,983942
fripSide,black bullet,155,164930
ryo (supercell) feat.chelly,Great Distance,197,329473
DJ Genericname,Dango Dango Daikazoku (Drum and Bass Remix),178,196813
The Bobo's,Quinoa,123,462231
Apollo,Brazil,223,2104327
Shihori,Magic Girl !!,156,53519
Cartoon,On & On (feat. Daniel Levi) (Cut Ver.),87,1400282
Himeringo,Ringo Uri no Utakata Shoujo,225.2,752073
Yamajet feat. Hiura Masako,Sunglow,180,595163
Katakiri Rekka & Suzuyu,Girl meets Love,185,333947
Kano,Stella-rium,177,386117
fourfolium,SAKURA Skip,165,474731
Hanatan,Airman ga Taosenai (SOUND HOLIC Ver.),175,134151
Rika (CV: Tamura Yukari) & Satoko (CV: Kanai Mika) & Hanyuu (CV: Horie Yui),Happy! Lucky! Dochy! (TV Size),235,1594964
GYZE,HONESTY,185,1108263
Hommarju feat. R.Cena,Chousai Kenbo Sengen,200,30012
Serenity,Lionheart,180,1390922
Masatoshi Ono,departure! (TV Size),160,116306
nameless,Shirayuki,210,493305
UVERworld,Touch off (TV Size),200,908896
LiSA,Kimi ni Pierrot,177,775766
S3RL feat Krystal,R4V3 B0Y,175,481451
Yasuda Rei,Passcode 4854 (TV Size),140,1494410
765PRO ALLSTARS,M@STERPIECE,128.01,235477
Down,Trio Cup,155,1769914
AKINO from bless4,MIIRO,195,259127
Suzuyu,Euphorium,186,779047
Rita,Dream Walker,175,50978
DECO*27,First Storm -Japanese Version-,190,808175
TrySail,Utsuroi (Short Ver.),208,1155295
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,271339
Yuuki Aoi,Cupid Review,137,268467
Aimer with chelly (EGOIST),ninelie (TV size),86,444091
Lifetheory,Daisy,180,118494
fourfolium,Now Loading!!!!,193,480609
Imperial Circus Dead Decadence,Uta,205,552726
Kankaku Piero,Haruka Mirai (TV Size),182,750743
THE ORAL CIGARETTES,5150,192,705655
