art,t,bpm,s
ave;new feat. Sakura Saori,Graceful Anomaly (Short Ver.),164,2177559
niki,HYBRID,125,138711
Nightcore,Solo Tu (Only You),164.7,12219
They Might Be Giants,Stomp Box,140.13,7361
96neko,Aimai Elegy,210,596833
sekai,God-ish,142,1759764
Nakasu Kasumi (CV: Sagara Mayu),Diamond,175,901878
Animal Crossing,DJ KK,138,1818
Hatsuki Yura,Inochi Mushibamuai (Short ver.),148,41053
Kitamura Eri,Happy Girl (TV Size),145,43419
Endorfin.,white night story (Cut Ver.),188,1882321
Hana,MAJICK,176,365163
ChouCho,My dear friend,158,206079
Larval Stage Planning,Kimi + Nazo + Watashi de JUMP!! (TV Size),170,37988
Jerry Barnes  Quiana,Moon without the stars,122,262129
Lia,Bravely You (TV Size),150,1962976
Han,Mysterious Messenger ver. Korean,128,670478
Ariabl'eyeS feat. KOKOMI,Dearest you,182,1694958
Ricky Montgomery,Line Without a Hook,95,899381
Enako feat. Pmarusama.,Iden Tei Tei Meltdown (TV Size),155,1910726
senya,Little Ringo,138,150112
Rin'ca,Pleasure garden,153,816852
nao,Toaru Shoukoku no Ohimesama ga...,218,1986106
eufonius,Aletheia (Short ver.),150.5,34462
Mami Kawada,sense,168,258721
Charli XCX,claws,135,1458874
Yorushika,Haru (TV Size),204,2115293
Iguchi Yuka,Platinum Disco (TV Size),117,48080
Tamura Yukari & Hanazawa Kana,Mogitate Fruit Girls (TV Size),175,143340
SOOOO,Raven Haven,185,935098
Helvetia (DJ Sa9 + Hommarju) feat. CAMRY,Cagayake!GIRLS,180,30243
Shiro (CV: Kayano Ai),Oracion,166,1925593
Kawano Marina,Weight of the World / Kowareta Sekai no Uta,74,585532
Senya,Koakuma Apple,138,28479
StylipS,Spica. (TV-size),87,182201
Smiley Arounds,Wow! Wow! Wubbzy!,187.75,47470
07th Expansion,Happiness of Marionette,98,24029
SHK,Violet Perfume,140,1010865
Wataru Sena feat. sana,Hitori Tabi,140,861626
Kuraki Mai,Kaze no Lalala -TV on air version-,129,169410
Hana,tree,182,1687393
TWICE,CHILLAX,109,975301
Stan SB,Let This Go,175,89912
Shoichiro Sakamoto,Eye of Aeon,180,26528
Oumae Kumiko(CV.Kurosawa Tomoyo),Ashita e no Euphony,160,332485
yanaginagi,Vidro Moyou (TV Size),131,48935
hololive IDOL PROJECT,Hyakka Ryouran Hanafubuki,175,1476012
Shimoji Shino,God Save The Girls (TV Size),170,1050590
ONE OK ROCK,The Beginning,182,68891
Hacken Lee,Red Sun,120.02,920
Yagi Kairi,know me... (TV Size),81.5,2097942
Koji Kondo,Ground Theme,100.17,1643826
F-777,Hydra,200,1089683
DECO*27,Otome Dissection feat. Hatsune Miku,134,913720
Nakamura Meiko,Dispel,200,1597607
senya,Iro wa Nioedo Chirinuru o,138,467315
DECO*27,Undead Alice feat. Hatsune Miku,176,1308800
Underoath,Writing on the Walls,184,292733
LABYRINTHS,Yumeji Labyrinth,162,565555
METAROOM,PINK ORIGINS,185,1589495
P*Light,2 MINUTES FIGHTERS,203,424088
yanaginagi,Tokohana (TV Size),169,1059162
Dear Jane,You & Me,80,977449
M2U,A Bella! (feat. Lucy),160,849369
Rohi,LvC3,210,1231655
Shimotsuki Haruka,Kaleidoscope,157,1644045
KAF,Answer (TV Size),80,1955954
Alex C. feat. Yass,Doktorspiele (Nightcore Mix),172.3,2080781
MYUKKE.,BUNA*SYNERGY!!!,150,1294640
HOYO-MiX feat. Tia Ray,Starfall,152,1118726
Tomita Miyu,OveR (TV Size),198,1737435
A-ya (CV: Ogata Megumi),Kodoku no Kakurenbo,220,1044564
senya,Kimiiro Subliminal,150,377281
brave elements,Massarani,210,889525
Minase Inori,TRUST IN ETERNITY,184,996959
yuzen,Ouka Ryouran,191,37647
eufonius,"glowing world ~Kagayaki no, Sekai e~",160,911279
Aimer,After Rain,120,933926
Global Deejays,The Sound of San Francisco,132.4,96422
M-ART,Kubinashi Ooyake no Tame no Enbu,168,2196587
Kagura Mea,Fuafua,166,2116750
Gotye,Somebody That I Used To Know (feat. Kimbra),129,1617667
R-15,HIRAMEKI! Peace (TV Size),168,36832
fripSide,flower of bravery (TV Size),152,12910
ClariS,Songs Compilation,90,99506
Renard,Layers Of Shit,145,322121
Hana,Sakura no Uta,180,1648596
T-ara,Like The First Time,152,103163
Day6,Man in a movie,120,745457
Akita Neru,Gotya Gotya Uruse~!,220,22182
ReoNa,SWEET HURT (TV Size),84,1371297
Mick Gordon,Rip & Tear,216,1336642
Mili,Ga1ahad and Scientific Witchery,166,932901
KISIDA KYODAN & THE AKEBOSI ROCKETS,Tenkyou no Alderamin (TV Size),197,1219599
culenasm,Helsinki no Yume,187,1286783
69 de 74,Holy Wind,179,1957515
ESTi,HELIX (Edit Ver.),175,331732
Daisy x Daisy,Evidence,160,1703793
Nakanoke no Itsutsugo,Sekaijuu Tatta Hitotsu (Game Ver.),170,2015117
RAN,Dekat di Hati (REDSHiFT Remix),130,350207
Fujikawa Chiai,Atashi ga Tonari ni Iru Uchi ni (TV Size),91,958066
Hiroyuki Sawano,spirit,87.9,43214
umu.,humanly,250,977552
Ceui,Asphodelus (Short Ver.),160,30127
NicoNicoDouga,Cirno de Gozaimasu!,124.02,3367
BIGBANG,Blue,125,48939
GARNiDELiA,MIRAI (TV size ver.),80,303113
Aether Realm,The Fool,210,1209271
dj TAKA,Hollywood Galaxy,186,48196
Poppin'Party,Returns,185,1791342
"Himeno Mieru, Mamimu Meh, Wao Parin",Mankai! Erionto,178,2232728
momosumomosu,Esoa,180,2001099
T & Sugah x NCT,Stardust (feat. Miyoki) (Cut Ver.),174,1518291
Sasaki Hirofumi,TAMAYURA,180,49941
jun,TWINKLE HEART,185,51152
Hanatan,Koi no Miraizu,182,2066270
Pedro Silva,Tee-hee Time,198,2191700
ZUN,"Reach for the Moon, Immortal Smoke",164,8033
Kano,Keppekishou,190,2108343
Dreamcatcher,GOOD NIGHT,196,603905
benico.,Ringing*Days,183,1768649
M2U feat. Guriri,Magnolia,160,128645
sasakure.UK feat. Hatsune Miku,SeventH-HeaveN,180,154058
"Team ""Hanayamata""",Hana wa Odore ya Irohaniho,160,2006178
07th Expansion,miragecoordinator,150,31116
Kudou Chitose,CHO-DARI-,80,1328138
Ardolf,Split EX (Instrumental Ver.),170,1670325
Feryquitous feat. Natsume Itsuki,Happy Enforcer,200,1610984
Black Raison d'etre,INSIDE IDENTITY (TV Size),186,60631
Muzzy,Draining Atlantic,175,479671
Pmarusama.,Zenryoku Joshi Kakumei! (TV Size),170,2168363
Kugimiya Rie,Omocha to Issho ni Asobu no da!,134,82672
Midix,Parad Smerti,95,2205652
YOASOBI,Shukufuku (TV Size),170,2141711
Oomori Seiko,JUSTadICE (TV Size),185,1177969
maoto,Himawari no Saku Basho ~daydream flowers~,95,357575
Joe Hisaishi,Itsumo Nando demo,114.95,694099
Renard,Why Am I So Angry,220,1200208
SYNC.ART'S ft. Sayuri,Gravity of Love,150,17896
Demetori,Mukau no Sato ~ Deep Mountain,168,284881
Nico Nico Douga,Koishi and Okuu of the Sprite Tribe,119.58,13569
ACCAMER,Seishin (TV Size),75,1502292
IOSYS,Danzai Yamaxanadu,175,13654
Reol,Hibikase,140,1067141
Spica,Make debut! (TV Size),180,1303625
Thaehan,Bwa !,188.5,1014936
Kanon Oguni feat. timao,Tsumugiboshi,190,1957364
kemu,Ikasama Life Game (Cut Ver.),200,1212047
Scooter,And No Matches,145,24676
Muzzy,Spectrum,175,621102
senya,Higanbana,140,86602
Lenny code fiction,Nounai (TV Size),180,1077803
Vickeblanka,Black Rover,204,913669
Infinite Stratos Cast,BEAUTIFUL SKY,180,196241
Pendulum,Granite (Original Mix),174,1847112
Rita,Alicemagic ~TV animation ver.~,166,82612
ClariS,Hologram,153,673365
DJ TOTTO feat.3L,Youkakushi -Ayakashi Kakushi-,169.95,516454
"Fear, and Loathing in Las Vegas",Just Awake (TV Size),191,1022905
Hanatan,Shiwa,185,130704
fhana,Hello!My World!!,141,657341
Aimer,Torches,82,1545741
Emii,Abyss,150,34044
The Rembrandts,I'll Be There For You (TV Version),190,207443
Tsuki no Tempest,Gekka Hakanabi (TV Size),180,1529955
ALTIMA,I'll believe (TV size),142,355195
Little Glee Monster,Your Name (TV Size),120.05,1675222
SixTONES,NAVIGATOR (TV Size),146,1268188
SENEZ,Misplaced Shadow,150,115729
Gunther & The Sunshine Girls,Ding Dong Song (Radio Edit),132,2080125
"Yamazaki Haruka, Tadokoro Azusa, Machico",Kimi to no Asu o Negau kara,186,2043206
Rise Against,Drones,209.25,309607
Misaki Nako,Chiisana Tsubomi (TV Size),133,2215546
Luce Twinkle Wink,1st Love Story <TV size>,137.5,447245
Mimori Suzuko,Egao no Kimi e,175,1675951
Akatsuki Records,Do You Remember Me,100,955873
Sangatsu no Phantasia,PINK LEMONADE (TV Size),191,927277
Yamato,Level One,173,2207715
SYNC.ART'S,Sword of Valiant,170,24881
nonoc,Hisui,101,1646129
Zekk,MEJIRUSHI,195,1116742
Ninomiya Yui,Konse Daikakumei (TV Size),160,2158510
Goose house,Oto no Naru Hou e (TV Size),143,143270
Denkishiki Karen Ongaku Shuudan,I pray,180,810466
sajou no hana,Gray (TV Size),96,1972407
SOUND HOLIC,Airman ga Taosenai (SOUND HOLIC Ver.),175,1500443
Ghost,From The Pinnacle To The Pit,180,425520
a crowd of rebellion,Ill,212,2006483
Hate vs. Brilliance,Qubism,180,524503
Tatsh feat. Hatsune Miku,Cinderella Romance,174,14850
SMiLE.dk,Don't Believe You're Leaving (Nightcore Mix),163,1681702
sakuzyo,Neurotoxin,180,198380
HeHeJSM,YENA (Dubstep Remix),140,244936
ZUN,Kurayami no Kazaana,160,836596
ZAQ,Alteration,160,1038233
Draw the Emotional,Just follow time,154,75606
Sayuri,Tsuki to Hanataba (TV Size),175,1668524
Kano,Gaikotsu Gakudan to Lilia,220,1066631
iMarine (CV: Uchida Aya),DEEP BLUE SONG,187,1340565
LEAF XCEED Music Division,Fur Elisa,185,1131805
Nightwish,Sagan,146,395298
SMiLE.dk,Koko Soko (AKIBA KOUBOU Eurobeat Remix),152,2191580
neverquest + avalanche death,don't go!,151.2,1122698
sweet ARMS,Trust in you,190,1510821
Sasaki Sayaka,Atlantico Blue,177,690792
BUTAOTOME,Sharekoube,185,1597784
ChouCho,Ashita no Kimi sae Ireba Ii.,178,679369
Fractal Dreamers,Module_410,180,982205
Matrix & Futurebound,Fire (feat. Max Marshall),174,975615
Aimer,Zankyo Sanka (TV Size),171,1716793
Hachimitsu-Lemon,Spring Lane~Fleur Rouge Mix,176,25007
Hazuki,NEW WORLD (Cut Ver.),182,1719038
Nightcore,All I Want For Christmas,189.8,23172
Hatsune Miku,Romeo and Cinderella,170,21954
Asaka,Sun Is Coming Up (Movie Edit),104,1801304
ClariS,Koi Sekai,170,2030184
Lil Peep & XXXTENTACION,Falling Down,120,1064192
Raubtier,Achtung Panzer,190,18278
hololive IDOL PROJECT,Yumemiru Sora e,180,1136612
Hatsuki Yura x Tsukiko,Jewel Cat,148,38081
Carly Rae Jepsen,Call Me Maybe,120,54954
fripSide,memory of snow,125,26097
SoundTeMP,Ragnarok Online Compilation,140,270987
la la larks,ego-izm (TV Size),188,907759
Primary,in the Garden,224,492525
AKINO with bless4,Jet Coaster Ride,165,280695
OxT,Silent Solitude (TV Size),110,1948240
SSGIRLS,Follow your arrows (TV Size),176,2167357
cYsmix,Dovregubben's Hall,140,360950
Wang Feng,Chun Tian Li,180,135198
FIELD OF VIEW,DAN DAN Kokoro Hikareteku (TV Size),132.99,2011188
Universe Nekoko,Virgin Suicide,118,1614261
USAO,Dynamite (Extended Mix),200,431697
Kitamura Eri,Shirushi (TV Size),160,40643
"Taecyeon, Suzy, Kim Soohyun, Wooyoung & JOO",Dream High,127,124614
Thousand Foot Krutch,The Part That Hurts The Most (Is Me),165,1282046
polysha feat. Sennzai,Escape from the Abyss,180,2147338
zts,lastendconductor,139,333965
Bring Me The Horizon,Anthem,220,32661
nao feat. isui,Ukigumo,205,1876775
Denkishiki Karen Ongaku Shuudan,gemini,190,182815
Marika,Soul Release (Short Ver.),188,1807687
Akatsuki Records,Memories,165,933447
CHOPSTICKS BRO.,Xiao Ping Guo,125,186048
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,958314
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,150,436523
doriko feat. Hatsune Miku,Paradise Cage,174,23483
YuiKaori,Our Steady Boy (TV Size),173,29627
System of a Down,Vicinity of Obscenity,230,13768
Rche,Todestrieb,185,968678
Aimer,I beg you,128,1029661
Morfonica,Daylight,185,1615019
Memme,Tantanmen,185,1296282
Yorushika,Haru (TV Size),204,2115164
Seiryu,Critical Crystal,191,199535
Pastel*Palettes,Harumodoki (Asterisk DnB Remix) [Rakakun- Edit],175,1034608
Coco Jones,Holla at the DJ (The DJ Mike D Remix),178,1709601
Hayami Saori,Yasashii Kibou (TV EDIT),159,331066
glass beach,calico,150,1288714
Abe Mao,Mada Ikemasu,181,1884638
Rin'ca,Kiseki Melody,170,1754642
Cristina D'Avena & Giorgio Vanni,All'arrembaggio (TV Size),123.99,24203
NicolArmarfi,Friendship,90,642780
senya,Shissou Suru Kanashimi no Naka de,155,347460
livetune adding Fukase(from SEKAI NO OWARI),Take Your Way (TV Size),134,86916
tieff,Take Your Swimsuit,168,940597
Gentle Stick X M2U,Ineffabilis,160,1334202
THE ORAL CIGARETTES,Kyouran Hey Kids!!,142,371118
senya,Sakuretsu Irony,152,223960
KIRA,MONSTER (feat. GUMI),118,1155614
Yamamoto Mineko,Rinne,179,2146811
Tamura Yukari,Fantastic future (TV Size),172,88743
Rise Against,The Eco-Terrorist In Me,170,358609
JAM Project,THE HERO!! ~Ikareru Kobushi ni Hi o Tsukero~ (TV Size),260,398176
Marina & The Diamonds,Seventeen,130,27178
Kuroha Neko (CV Taneda Risa),Sassou Toujou!Neko-san,156,461071
Aqua Timez,Alones (TV Size),190.32,59411
Ito Kashitaro,"Fairytale,",194,788569
ELFENSJoN,Hyousou wa Hakuen o Matoite,209,1332833
Vivid Lila feat. Tsukino,Sky color memory,188,1930698
Sabaton,Night Witches,192,1177947
UR@N,refrain moon,130,19607
Hana,Sakura to Kotori,180,1180189
Rameses B,You Are Everything,175,715088
Kicco,Shunkan Spline,172,2109476
Aqours,WONDERFUL STORIES,161,720402
Ikeda Masanori,Night of Summer Side (TV Size),156.9,1544491
DIALOGUE+,Jinsei Easy?,138,1507979
Sound Souler,Paradise,126,686777
Yoko Hikasa,"Don't Say ""Lazy""",181,6257
Infected Mushroom,Guitarmass (Cut Ver.),145,947022
yoshiki*lisa,Destin Histoire (TV Size),166,121120
yomegA,Shut Up and osu! With Me (2020 ver.),128,1095376
Akase Akari,Koi no Yukue (TV Size),140,1671190
Hatsuki Yura,Diabolikha,286,1896576
RhythmHolic,GLP Dubstep Intro,139,130725
Aiobahn feat. KOTOKO,INTERNET YAMERO,185,2074198
Traxell,Mii Channel Music (I Can Do Whatever I Want Because I'm An Adult Remix),114,358730
Jay-Z & Kanye West,Ni**as in Paris,140,1547973
Sawai Miku,Colorful.,153,2137377
Printemps,UNBALANCED LOVE,123,300750
Saki: Achiga-hen Cast,SquarePanicSerenade (TV Size),179,2142636
Aimer,Zankyo Sanka (TV Size),171,1677788
YUZUNO,shining! our life (short ver),175,714343
Yorushika,Ano Natsu ni Sake,160,1293131
Raphlesia & BilliumMoto,My Love,175,1388906
Little Glee Monster,Kimi ni Todoku made (TV Size),110,990308
kamome sano,dawn(ginkiha hardcore remix),181,185766
angela,KINGS (TV Size),184.8,60608
underscores,Your favorite sidekick (feat. 8485),180,1573155
"Run Girls, Run!",Share the light (TV Size),180,1056891
Lady Gaga,Bad Romance,119,1937953
Nishizawa Shiena,Light and Shadow (Cut Ver.),186,1183865
SUKIMASWITCH,LINE (TV Size),86.7,762789
Eminence & Soulero,Invisible (feat. Mari-Anna),128,374094
Tachibana Miya,Miya to Tengoku to Jigoku,195,17450
Co shu Nie,Lamp (TV Size),180,1325620
Shokk,You Reposted in the Wrong Neighborhood,104,527207
Given,Fuyu no Hanashi,135,1188243
DA PUMP,Dragon Screamer,124,4910
Xanthochroid,Long Live Our Lifeless King,133.33,1736495
mona (CV: Natsukawa Shiina),Fansa,176,2092126
Horie Yui,silky heart (TV Size),135,2091166
Mikuniyama Kaiko (CV: Fujita Akane),Innocent Lovely (TV Size),145,2234864
"Iris Freyja(CV:Hidaka Rina), Mononobe Mitsuki(CV:Numakura Manami)",Ray of bullet,185,280999
L.E.D.-G,SOUND OF GIALLARHORN,184,155457
Poppin'Party,Hikaru Nara,160,611024
IU,Marshmallow,140,17466
nonoc,Memento (TV Size),125,1226315
Serj Tankian,Lie Lie Lie,120,93958
Choucho,Kawaru Mirai (TV Size),167,32911
onumi,ARROGANCE,175,940377
Ice Nine Kills,IT Is The End,186,1061532
nain tou,Ryuuko Mixer,184,60167
Mics!!,PAINT IT!!,196,1371662
Camellia,Diastrophism,228,923095
Lia,Bravely You,150,1973435
Rammstein,Du Hast,125.1,4503
Maeshima Mayu,ANSWER,200,2089743
THE ORAL CIGARETTES,ONE'S AGAIN,110,854184
my sound life,02:15,145,1777079
Demetori,Genshi no Yoru ~ Ghostly Eyes,176,376837
Various Artists,Sword Art Online Compilation,134,854299
ELISA,Dear My Friend -Mada Minu Mirai e-,129,1191574
Qrispy Joybox feat.mao,Colorful Minutes,152,62537
DystopiaGround,"Silence, In the Rubble",128,17275
BPM15Q,Hakuchu-mu,174,1072748
Kozato Snow,Izayoi Sakura,175,25491
Conagusuri,Hina Choco Dark Matter,180,15576
mary,Kaisei,172,2244513
"Aoi (CV: Iguchi Yuka), Hinata (CV: Asumi Kana)",Omoi Nochi Hare,163,1953987
Yorushika,Deep Indigo,210,1792919
MILLIONSTARS,Rat A Tat!!! (TV Size),192,2079639
Asaka,Eternal Star (TV Size),166,813472
Rita,Life goes on.,170,646336
Yuki Setsuna (CV: Kusunoki Tomori),DIVE! (TV Size),180,1280632
GRANRODEO,Setsuna no Ai (TV Size),165,949559
HAPPY BIRTHDAY,Koi Boudou (TV Size),125,59475
Hideyuki Ono,Two Pianists,178,996627
TWICE,YES or YES,138,888676
ClariS,border -TV MIX-,178,260787
Duca,marry me ?,160,1023804
Mikhail Krug,Vladimirskiy tsentral,131.65,1769995
Moxy,Ben 10 (TV Size),136,2004646
FIFTY FIFTY,Cupid (Twin Ver.) (Sped Up Ver.),144,1988283
Goose house,Fuyu no Epilogue,72,330396
senya,Theta de Tsukisashite,160,1353531
Diao Ye Zong feat. Meramipop,Gensou Roman Kikou (is the limit.),179,736862
Oikura Sodachi (CV: Inoue Marina),Yuudachi Houteishiki,128,941228
Danny Brown,Maximum Wave (Cut Ver.),168,1744732
Hanazawa Kana,Yuki ni Saku Hana (TV Size),70,106001
Dormir,Une mage blanche,193,759524
CHiCO with HoneyWorks,Hikari Shoumeiron (TV Size),200,1423377
Tatsumi Megumi feat. Sano Hiroaki,Itazura na Tenshi to * Christmas Eve,182,2084849
GARNiDELiA,grilletto (TV Size Ver.),191,190734
kensuke ushio,lit(var),95,623972
Tsukuyomi,Reason For Existence,252,1756246
Wolpis Kater,Oxalis,252,1347859
Primary,Kokoro no Yakusoku,75,933709
nonet,Now On Stage!!,170,1275018
Jun.A,Ghost Lead,167,47516
HARUKI,Houkyou no Messiah (Chinese Version),184,87381
livetune adding Yuuki Ozaki(from Galileo Galilei),FLAT TV size edit.,180,142915
"Team ""Hanayamata""",Hana wa Odore ya Irohaniho (TVsize),160,191314
back number,Happy End,77,679053
Takamachi Walk,hollow hope,180,2166782
Akeboshi,Wind,174.97,664841
S3RL x LIDA,My Girlfriend is a Raver,175,1340834
Tia,Nirvana,144,361956
Syaro (CV: Uchida Maaya),Tobikiri summer time,185,1800527
zakuro,Inochi ni Kirawarete Iru.,200,693727
nao feat. isui,Summer Lights,196,1928441
Toyosaki Aki,MORE&MORE,178,125303
Misato Aki,Sayonara Kimi no Koe,140,28240
Down,Duo Cup,180,1765192
Getty,Neo Bright feat. TEA,170,2222733
"slowthai, Mura Masa",Doorman,175,1555205
"Gabry Ponte, LUM!X, Prezioso",Thunder (Nightcore Mix),148.5,1749750
San Diego (CV: Itou Asuka),Wa ta shi wa * No.1!,178,869783
SNoW,Sakasama no Chou,90,2189628
mafumafu,Ame to Petra,195,995255
t+pazolite feat. Rizna,Interlude - teatime,100,348711
xi,Ascension to Heaven,200,368060
Yousei Teikoku,Elusion,210,1116379
YOASOBI,Yuusha,208,2164734
onoken feat. moco,Light up my LOVE!!,166,1765724
DIALOGUE+,Omoide Shiritori,172,1444539
Kotoha,Yuki wa Naniiro,179,2185936
*namirin,Senaka Awase no Kuukyo (with Kakichoco),186,716249
Team.Nekokan feat. Katakiri Rekka,Salvage (TV Size),177.75,2006471
HyuN feat. Yu-A,My life is for you,175,891417
THYME,forever we can make it! (TV Size),185,106328
Sakuzyo,Amenohoakari,155,671056
wazgul,Po Pi Po (Ryu* Remix) + TF2 [MaD] feat. Ippon Manzoku.,168.4,332436
Taketatsu Ayana,Majokko Mirakurun (Short Ver.),185,45410
Hige Driver,Miracle Sugite Yabai (feat. shully),145,682290
Basslovers United,A+ Superstar (Nightcore Mix),172.82,184078
Feryquitous feat. Aitsuki Nakuru,Fake,210,1146723
KNOCK OUT MONKEY,BRAVE OUT (TV Size),200,1061711
Duca,Snow wish (Short Ver.),159,55537
Ayaka Ohashi,Wagamama MIRROR HEART,181,1892938
sweet ARMS,I swear,168,1554804
Primary,Higashi no Sora kara Hajimaru Sekai,85,1096746
xi,Garyou Tensei,200,1536540
HARU NEMURI,NARASHITE,192,2129095
nano,"No pain, No game",190,178029
ClariS,Colorful,178,132007
Rita,Koi no Process,158,51790
TK from Ling tosite sigure,unravel (TV edit),135,206887
Chata,Precious Wing (Movie ver),160,542186
yourness,Kago no Naka ni Tori (TV Size),81,1202748
Mori Calliope,"Excuse My Rudeness, But Could You Please RIP?<3 (t+pazolite Remix)",260,1264863
Rabpit,Sanctity,143,50017
Jakarta Funk Brothers,INSOMNIA,195,1689665
Down,AJT,155,1705780
goreshit,semantic compositions on death and its meaning,171,90930
Sound Horizon,Yoiyami no Uta,182,396118
kaeru x chiying,Trick and Treat,135,41178
Tsuzuri,NAME,183,2037278
KANKAN x Hiiragi Kirai,All Fool,195,1961624
Rche,Todestrieb,185,40923
TUYU,Amamoyo,160,1856813
ZUN,Inada Hime-sama ni Shikarareru Kara,160.97,905072
XXXTENTACION,Fuck Love (feat. Trippie Redd),131,1066696
onoken,Viden,174,375402
Masayoshi Minoshima feat. nomico,Alice Maestera,140,10345
Kawada Mami,masterpiece (TV Size),167,849526
Various Artists,NAGI NO ASUKARA Songs Compilation,129,325141
Lindsey Stirling,Senbonzakura,154,277421
Woodkid,I Love You,146,882108
Ayaka Ohashi,Wagamama MIRROR HEART,181,2052377
Halcyonic Falcon X,Fallen Blood,150,211328
AliA,Kakurenbo,180,1466465
Igorrr,Tout Petit Moineau,212,212180
Miki Sayaka (CV: Kitamura Eri) / Sakura Kyoko (CV: Nonaka Ai),and I'm home,125,1810611
wase,Re Ai 105C De Ni,137,1781793
HoneyWorks feat. Kotoha,Hokori Takaki Idol,166,1840881
Mindless Self Indulgence,3 S',190,1700148
kessoku band,Karakara (TV Size),190,1911871
Juice WRLD,Conversations,80,1474886
Hatsune Miku & Kagamine Rin & Megurine Luka,@,180,37014
BRIGHT,Ichinen Nikagetsu Hatsuka,119,90499
Nico Nico Douga,Dr. KBC,164,31811
Thaehan,Play,194,1291874
Uehara Rena,Todokanai Koi '13 (TV Size),135,123849
wa.,Alruna,184,43552
nyankobrq,Snorkel,160,1886230
