m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,722909,807.8,240.7,3537,pishi's Extra,325158,78,5.81181,321098,96203,400560,9.4,8.9,4.1,6.1
0,2237466,807.46,255.26,3516,Dream,1068768,97,5.78369,757233,59034,437638,9.3,9.2,4,5.6
0,2102292,805.3,148.66,6470,Reform's Expert,1004468,37,5.07536,1346328,62005,434558,9,8.7,3.5,5.7
72,4570744,804.51,418.32,901,Insane,2166472,227,4.61291,67583,20331,476347,8.5,7.5,4,5
8,2330357,798.7,328.51,2144,Mitsuboshi Jump!,1115477,228,5.906,684387,53707,442964,9.4,9.2,3.8,5.5
64,1153237,798.42,145.67,6470,Hard,542081,42,3.6176,1015155,79246,417424,7.7,7,4,5
64,1786960,798.23,228.19,4285,Xenon's Insane,818349,57,3.88399,1702683,65197,431476,8.3,8.5,3.8,5.2
64,155404,791.02,255.52,3516,Insane,50587,168,4.05725,608916,107493,373147,8,7,4,7
0,2328676,788.7,130.15,6221,Insane,1114768,134,4.69804,203328,56426,440270,9,8,4.2,5.2
0,2484994,780.41,333.65,2274,Sky City,1187933,95,6.42307,479149,52648,444023,9.5,9.5,4,5.6
0,1263997,778.04,139.42,5742,Xxdeathx's Insane,596704,87,4.74619,1688389,81947,414726,9,8,4,6
0,2404837,776.07,149.48,6470,Kowali's Expert,1148073,100,5.0431,431244,53465,443206,9.1,8.5,3.8,5.2
0,4568028,772.59,94.62,9236,Insane,2165427,136,4.36107,35550,19634,477048,8.6,8,3.8,5
0,1001682,772.02,417.87,901,Myth,382400,398,6.40197,1265481,83736,412958,9.5,9,4,6.2
0,2467121,771.6,193.86,5622,A r M i N's Extra,1148073,96,5.41358,365769,53465,443206,9.3,9,3.8,5.8
0,5127731,762.73,278.26,3507,pick me,2374386,52,6.19563,223633,10393,486278,9.4,9.2,3.6,5
64,4903535,758.38,342.67,2103,Relentless,2295884,57,4.70769,185619,10007,486674,8.5,8.5,3.7,5
0,2546607,750.28,336.84,2241,Universal Daikaiten Peko Peko no Mai,1224414,115,6.58673,460895,51455,445128,9.6,9,4,6
0,2283641,749.66,223.14,4423,Log Off Now's Expert,1092468,90,5.72164,405855,57450,439317,9.3,8.5,3.8,5.8
0,1405981,744.05,149.12,6470,Expert,664315,39,5.04323,971082,74276,422445,9.2,9,4.5,7
