art,t,bpm,s
Linked Horizon,Guren no Yumiya (TV Size),180.68,87630
Jin ft. MARiA from GARNiDELiA,daze (TV Size),198,172159
BIGBANG,Fantastic Baby,130,49942
Shikai Yue,Telecaster B-boy,182,1498816
Masayoshi Minoshima feat. nomico,Bad Apple!!,138,18260
HO-KAGO TEA TIME,Kira Kira Days,200,444335
Kenshi Yonezu,Peace Sign (TV edit.),200,594429
Brian The Sun,Lonely Go! (TV Size),204,863227
Nogizaka46,Yubi Bouenkyou ~Anime-ban~,180,623924
philo,Sensei ni Icchao,104,1879893
IA,Six Trillion Years and Overnight Story,186,51245
DEAN FUJIOKA,History Maker,67,536049
Fujii Shiho,Excitebike Arena,200,774406
Drop,Granat,180.96,1717564
ONE OK ROCK,Answer is Near,188,63112
IOSYS,Neko Miko Reimu,160,9264
BRIGHT,Ichinen Nikagetsu Hatsuka,119,50270
Blend A,Bon Appetit S (TV Size ver),152,678593
Ni-Sokkususu,Blade Dance,187,372851
Stonebank,Who's Got Your Love,170,496549
Mikakuning!,Tomadoi Recipe (TV Size),170,152249
Douglas Robb (Hoobastank),Fist Bump,217,779577
Zekk,Freefall,180,1385279
Yousei Teikoku,Kyouki Chinden (TV Size),280,59025
Pokemon G/S/C,Final Battle,200,4570
Horie Yui,Asymmetry,173,361902
Hatsune Miku,NEVERLAND,190,19868
INTERNAL,"Zabolel, no ne toboy",145,1119095
Roselia,This game,147,749557
MY FIRST STORY,Fukagyaku Replace,199.81,342218
Fujijo Seitokai Shikkou-bu,Best FriendS (GoldenWolf Edit),163,746506
Himeno Kotori (cv. Tamura Yukari),Koi no Hime Hime Pettanko,178,518377
Toby Fox,THE WORLD REVOLVING,190,874450
Mika Nakashima,KISS OF DEATH (Produced by HYDE),122,744762
Akiko Shikata,Katayoku no Tori,110,317968
Y&Co. feat. Karin,Sweet Rain,155,738169
Trial & Error,Tokoyami no keiyaku KEGARETA-SHOUJO feat. GUMI (Short Ver.),190,955808
Reol,No title (Cut Ver.),200,1880944
Reol,Plus Danshi ver Reol,180,295225
Amatsuki Mashiro (CV: Inori Minase),Searchlight to Tsukiakari (TV Size),128,1836848
Disasterpeace,I Am Only a Man,160,905046
Aimer,SPARK-AGAIN (TV Size),180,1206887
Dj Raaban,Anima Libera (ReMiX),178.55,8704
Lia,"My Soul, Your Beats! (TV Size)",145,16273
yuki. feat. setsunan,Hello! World,170,785650
ASCA,RESISTER (TV Size),183,909911
ZAQ,Sparkling Daydream (TV Size),175,60511
Momohara Natsuki (CV: Murakawa Rie),Natsuzora Yell (TV Size),170,1914391
Kalafina,heavenly blue ~TVsize~,157,194861
ClariS,Songs Compilation,90,99506
NOMA,Brain Power,170,357777
ZUN & Ryu*,Second Darkside,149,24304
Giga-P,Electric Angel,150,146794
Sayuri,Tsuki to Hanataba (TV Size),175,816867
Nishiura Tomohito,Broken Promise (Orgel Version),108,392869
YOASOBI,Yoru ni Kakeru (Ryox Remix),130,1592716
Gawr Gura,RIDE ON TIME (REDALiCE's CITY POP SHARK Remix),128,1354675
OxT,HOLLOW HUNGER (TV Size),160,1867700
a*ru,Kizuato,173,668807
"Hikasa Youko, Uchida Maaya, Taketatsu Ayana, Akesaka Satomi",Gokujo. no Jouken (TV Size),180,1029591
petit milady,Seishun wa Tabemono desu,185,721039
REDALiCE,Bad Apple!!,170,10353
EARPHONES,Arakajime Ushinawareta Bokura no Ballad (Game Ver.),198,843086
Demetori,Seijouki no Pierrot ~ The MadPiero Laughs,191,1272026
Masayoshi Minoshima feat. Ayakura Mei,Lionheart,132,1142369
Renard,TU4AR,240,82802
soutaiseiriron,Shikaku Kakumei (Cut Ver.),160,1464135
DJ Totoriott,Chronoxia,180,429184
MADKID,RISE (TV Size),165,910748
UNDEAD CORPORATION,Yoru Naku Usagi wa Yume o Miru,200,58951
*namirin,Koi no Hime Hime Pettanko,178,485056
Brian the Sun,Lonely Go! (TV Size),204,1004417
HyuN,Legend of Genesis,190,891356
+Plus,Fiesta,140,81557
Parry Gripp,Guinea Pig Bridge,180,1067188
Rory Doggett,Home Depot TV Theme Song,120,1136610
The Flashbulb,Lawn Wake IV (Black),217,965730
DJ TOTTO feat. Enako,Precious * Star,178,776495
Bring Me The Horizon,in the dark,156,1112696
Halozy,Snow Changes to a Beat Again,131,387335
Project Grimoire,Excalibur ~Revived resolution~,200,1514014
FELT,In my room,165,1551700
CINDERELLA PROJECT,Star!!,178,435449
Tominaga Tommy Hiroaki,JoJo ~Sono Chi no Sadame~,146,759176
Utsu-P,TRAUMATIC,240,828941
