m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,4610730,695.39,281.89,1219,[4K] Super,2182214,118,5.24894,20340,5792,490912,5.3,8.2,4,8.2
0,475287,685.71,169.24,2647,[4K] EXHAUST Lv.15,200552,115,4.30578,473898,100042,396648,5,8,4,8
0,739982,669.73,111.48,4050,4K Hyper,332130,199,3.57846,127317,93467,403248,5,7,4,8
0,651705,668.57,52.75,6108,[4K] Hard,288794,250,2.68839,343973,99940,396737,5,8.5,4,8
0,720556,662.15,111.28,4050,DECADE's 4K Lv.20,324288,110,3.66931,512838,95169,401640,5,8,4,8
0,2446749,656.19,104.23,4729,[4K] Hard,1173144,220,3.4068,158879,52670,444008,5,8,4,8
0,4610936,653.34,307.91,913,[4K] YOUR EMPTY EYES,2182334,86,5.44804,50383,13353,483342,5.3,8.4,4,8.4
0,823842,652.74,379.68,516,[4K] GEOLOGICAL//IRRESOLUTION,376293,412,6.02973,111381,89897,406820,5,7.4,4,9.3
0,1009933,651.71,312.66,917,[4K] Shana's Dollar [SC],440508,172,5.41617,191732,84745,411932,5,8.5,4,8.5
0,421063,651.2,184.6,2516,[4K] MX,174381,236,4.39885,381739,105157,391519,5,8,4,7
0,1030300,647.54,59.35,6252,[4K] HD,482869,90,2.94365,150139,84941,411740,5,7.5,4,7.5
0,421065,647.46,66.78,6185,[4K] HD,174381,236,2.88911,490694,105157,391519,5,7,4,7
0,5281618,646.77,109.79,4050,[4K] Glory of an Undefeatable Champion. // Hyper,2426199,99,3.55204,14773,7959,488711,5,8.2,4,8
0,3703440,646.41,86.93,5815,[4K] Present,1805268,155,3.32959,35953,23847,472833,5,7.5,4,7.5
0,4277713,646.29,145.94,3140,[4K] UUU SIGMA,2048850,80,4.0479,113609,25366,471310,5,8.8,4,8.8
0,3063313,643.7,262.77,1316,[4K] Re_Sign,1492528,119,5.06961,159398,44453,452226,5,8.5,4,8.5
0,789784,643.09,359.05,610,[4K] Jinjin's INFINITE,349208,126,5.83863,270614,89597,407125,5,8.8,4,8.8
0,767310,638.83,80.45,5619,[4K] Standard Lv.16,347779,148,3.22366,475320,96280,400406,5,7.5,4,7.5
256,3469849,637.24,1067.93,3,[7K] Metamorphosis,1698284,407,11.3864,18058,30022,466549,5,7,7,7.7
0,1967430,636.88,228.89,1780,[4K] Last Adventure,942240,152,4.94508,178109,50386,446293,5,8,4,8.5
0,2053317,636.53,160.09,2574,[4K] Expert,981053,127,4.19757,136206,59507,437605,5,8.2,4,8.2
0,1017254,635.25,79.44,6601,[4K] Avalon's ADVANCED!!,476221,113,3.23539,662382,87497,409363,5,7,4,7.5
0,1872632,630.21,73.1,5478,[4K] Advanced,838465,100,3.12617,229221,64399,432446,5,7.5,4,7.5
0,2278485,625.69,50.14,6108,[4K] Advanced,1089835,185,2.8704,22746,45721,450956,5,7,4,7
0,5031842,618.47,213.21,2041,[4K] Extra,2341595,76,4.68345,43582,11642,485044,5,8,4,8
0,1087088,614.77,284.12,1219,[4K] Expert,478161,138,5.26161,262823,81279,415413,5,8.3,4,8.5
0,708663,608.13,145.7,3140,[4K] MX,318207,186,3.94121,188062,95892,400886,5,8,4,8
0,308416,602.43,56.09,6252,4K Lv.9,120289,84,2.88033,313483,107500,387589,5,7,4,7
0,5203925,601.9,552.57,206,[4K] Madness,2400282,95,7.06028,39789,7685,488889,5,7.6,4,8.6
0,4387804,600.77,596.29,145,[4K] ULTRA,2062241,165,7.27162,58745,21740,474939,5,7.9,4,8.2
256,5008074,600.42,502.24,263,[4K] Menuliskan Takdir di Atas Abu Keraguan,2325708,404,7.84429,32611,11718,484961,5,7,4,8
0,2399799,591.39,177.22,2516,[4K] Eternity,1149492,91,4.37386,99300,49215,447471,5,8.5,4,8.5
0,2358147,591.07,113.99,4050,[4K] Another,1128753,122,3.66032,117079,49868,446846,5,8,4,8
0,1900585,589.33,427.24,445,[7K] Black Another,910843,123,6.2029,70983,60899,435810,5,9,7,8.5
0,360805,587.53,186.38,2516,victorica's 4K ExtrA,134829,117,4.3649,208876,107500,387951,5,8,4,9
0,1503725,587.21,178.22,2516,[4K] Insane,703670,222,4.21219,79416,62210,434468,5,8,4,8
0,1022525,584.23,157.13,3002,[4K] Starry's Insane,478273,89,4.42694,238657,88673,408012,5,8,4,8
0,1017266,583.76,198.57,2448,[4K] SY's UNCENSORED!!,476221,113,4.52184,304884,87497,409363,5,8.5,4,8.5
0,5267000,582.47,94.38,4707,[4K] VAI TOMA TOMA TOMA VAI,2421096,73,3.33747,31787,7623,488926,5,8.5,4,8.5
0,5295099,578.95,114.54,3869,[4K] X,2430780,78,3.60509,40787,5603,491172,5,8.5,4,8.5
0,4131923,574.31,135.48,3279,[4K] Lost Control,1988996,151,3.95607,15456,21858,474833,5,8.5,4,8.5
0,2384814,574.22,187.78,2516,[4K] Insane,1141872,83,4.45068,122906,53309,443312,5,8,4,8.5
0,2654192,572.13,161.26,2574,[4K] Another!,1277503,131,4.2178,124799,49159,447518,5,8,4,8
0,2056752,570.57,89.59,4707,[4K] Hyper,981053,127,3.3507,204138,59507,437605,5,7.8,4,7.8
0,4053085,564.66,86.77,5815,[4K] MAXIM's HARD,1955597,64,3.26721,65794,25711,470898,5,7.5,4,7.5
0,4094064,560.07,929.42,13,[4K] Denouement,1956376,772,9.32002,30177,24440,472097,5,7.5,4,8.4
0,1875136,560.02,104.34,4729,[4K] Hyper,897547,135,3.4624,116811,62623,434125,5,8,4,8
0,2130092,559.94,125.32,3000,[4K] Insane,1017769,128,3.73497,87551,50675,446002,5,8,4,8
0,5280406,556.18,187.63,2516,[4K] X,2425769,77,4.4698,14711,8378,488441,5,8.3,4,8.3
0,4860324,555.76,146.13,3140,[4K] 1627720,2280150,139,3.90862,81060,13785,482910,5,8.5,4,8.5
0,2553755,555.18,166.85,2647,[4K] Inferno,1228135,199,4.29551,98876,50411,446295,5,8.2,4,8.8
0,3401628,553.7,223.79,1956,[4K] FAMoss' Extra,1664904,164,4.72684,35574,34548,462129,5,8,4,8.5
0,1920615,550.99,345.19,647,[4K] #0000FF,919633,246,5.78118,184914,61477,435109,5,8.2,4,9.5
0,2608350,550.39,97.19,5067,[4K] Hard,1255066,237,3.33494,43404,43349,453610,5,8,4,8
0,4816094,547,647.79,118,[4K] Khrysos,2262507,333,7.49137,28692,9046,487500,5,7.5,4,8.5
0,2138515,545.03,163.84,2574,[4K] Sweet Witch,1022130,118,4.38046,166257,59716,436961,5,8.5,4,8.5
0,476823,544.89,89,5815,[4K] ADVANCED Lv.14,200552,115,3.33405,900107,100042,396648,5,7.5,4,7.5
0,4410980,541.79,81.19,5619,[4K] Hard,2102159,268,3.23262,41680,22886,473703,5,7.5,4,7.5
0,4758224,541.78,226.39,1780,[4K] Master,2236887,139,4.82919,18893,11122,485555,5,8.5,4,8
0,4455382,538.21,116.81,3869,[4K] Hard,2045174,105,3.62035,19652,21925,474827,5,7,4,7
0,1114066,537.57,148.58,3140,[4K] Insane,516638,89,4.09292,279817,85711,410967,5,8,4,8
0,1850935,536.85,78.69,6601,[4K] Hyper,885596,141,3.2101,276183,62145,434605,5,8,4,8
0,1526757,536.52,70.53,5478,[4K] Hard,703670,222,3.11829,63144,62210,434468,5,7.5,4,7.5
0,769268,530.74,76.94,6601,nowsmart's 4K Hyper,347890,109,3.15046,189804,95093,401662,5,8,4,7
0,1017257,529.37,169.02,2647,[4K] DECADE's GRAVITY!!,476221,113,4.2413,267802,87497,409363,5,8,4,8
0,1030968,528.2,134.53,3279,[4K] puxtu's MX,482869,90,3.92575,137703,84941,411740,5,8,4,8
0,3807222,528.13,390.11,410,[4K] Fantasy Mythology,1852890,268,5.85971,24819,18027,480334,10,9,4,9
0,4835185,527.46,242.82,1592,[4K] \.>-<./ / Krasavitsa Meow  \  \.>-<./,2270163,129,4.92461,18805,2835,493894,5,8.2,4,8.2
256,767046,526.28,156.42,3002,[4K] Regret,347650,319,5.48188,605669,89453,407236,5,8.5,4,8.5
0,3190415,519.6,58.05,6252,[4K] Hard,1561624,86,3.08751,13248,36449,460097,5,7.5,4,8
0,1799519,515.95,177.42,2516,[4K] Insane,860047,88,4.30656,121077,66323,430430,5,8,4,8
256,421066,515.83,315.86,859,[4K] Wafles' SHD,174381,236,6.79044,249251,105157,391519,5,8,4,8
0,2446750,511.63,201.84,2289,[4K] Lunatic,1173144,220,4.52695,89802,52670,444008,5,8.5,4,8.5
0,720562,507.82,79.76,5619,Starry's 4K Lv.15,324288,110,3.14972,989792,95169,401640,5,7.5,4,7.5
0,1048201,507.22,130.15,3619,[4K] Zan's EXHAUST,491454,120,3.92634,175524,87061,409675,5,8,4,8.3
0,694151,506.91,137.17,3279,[4K] Rinzler's EXHAUST Lv.14,310607,108,3.87744,472141,92735,403943,5,8,4,8
0,1401257,506.77,129.11,3000,[4K] Super Neko,661920,47,4.13658,370710,77452,419244,5,8,4,8
256,4983215,506.69,256.08,1462,[4K] FANTASY,2324877,348,6.26155,62861,9443,487136,5,8,4,8
256,5575205,506.56,551.49,206,[4K] Cycles,2524447,333,8.6573,8980,2001,494679,5,7,4,8
64,5105790,505.67,890.19,21,[4K] And Or Nor Not,2367080,236,6.50478,51549,11033,485665,5,7,4,8.2
0,2651800,505.58,172.8,2687,[4K] Insane,1276332,130,4.32174,61357,45127,451607,5,8,4,8
0,1122856,505.25,89.36,5815,Wonki's 4K Hyper,529574,135,3.41002,338591,80713,415991,5,7.8,4,8
0,1288527,504.51,122.29,3360,[4K] EXHAUST,563569,111,3.84432,6562,10396,486300,5,8,4,8
0,4054401,499.19,221.78,1956,[4K] Dark Galactic Skies,1957138,230,4.7818,27155,24907,471659,5,8.5,4,8.5
